Cmdline: /system/bin/simpleperf record -f 1000 -g -p 17534 --duration 10
Arch: arm64
Event: cpu-cycles (type 0, config 0)
Samples: 4961
Event count: 11049081886

Overhead  Command          Pid    Tid    Shared Object                                                                  Symbol
69.93%    Debugger         17534  17534  /data/local/tmp/Debugger                                                       VisibilityScene::Raycast(Vec3 const&, Vec3 const&) const
1.44%     Debugger         17534  17534  [kernel.kallsyms]                                                              __arch_copy_to_user
1.39%     Debugger         17534  17534  [kernel.kallsyms]                                                              _raw_spin_unlock_irqrestore
0.94%     Debugger         17534  17534  [kernel.kallsyms]                                                              __cfi_jt_end [wmt_chrdev_wifi_connac2]
0.73%     Debugger         17534  17534  [kernel.kallsyms]                                                              __check_object_size
0.66%     Debugger         17534  17534  [kernel.kallsyms]                                                              el0_svc_common.llvm.4348246208108936194
0.55%     Debugger         17534  17534  /data/local/tmp/Debugger                                                       DrawObjectsWithDataInternal(std::__ndk1::vector<CachedActor, std::__ndk1::allocator<CachedActor>> const&, FMatrix const&, Vec3 const&, unsigned long, float)
0.40%     Debugger         17534  17534  /apex/com.android.runtime/lib64/bionic/libc.so                                 pthread_mutex_lock
0.39%     Debugger         17534  17534  /data/local/tmp/Debugger                                                       ImFont::RenderText(ImDrawList*, float, ImVec2 const&, unsigned int, ImVec4 const&, char const*, char const*, float, int)
0.36%     Debugger         17534  17534  [kernel.kallsyms]                                                              radix_tree_lookup
0.35%     Debugger         17534  17534  [kernel.kallsyms]                                                              pfn_valid
0.35%     Debugger         17534  17534  [kernel.kallsyms]                                                              queue_work_on
0.31%     Debugger         17534  17534  /apex/com.android.runtime/lib64/bionic/libc.so                                 __ioctl
0.31%     Debugger         17534  17534  [kernel.kallsyms]                                                              __fget.llvm.4796752657974668945
0.30%     Debugger         17534  17534  [kernel.kallsyms]                                                              _raw_spin_lock
0.30%     Debugger         17534  17534  [kernel.kallsyms]                                                              find_get_pid
0.30%     Debugger         17534  17534  [kernel.kallsyms]                                                              syscall_trace_enter
0.28%     Debugger         17534  17534  /system/lib64/libgui.so                                                        @plt
0.27%     Debugger         17534  17534  /data/local/tmp/Debugger                                                       ImGui::NewFrame()
0.27%     Debugger         17534  17534  /data/local/tmp/Debugger                                                       ImGui::Begin(char const*, bool*, int)
0.26%     mali-event-hand  17534  17539  /vendor/lib64/egl/mt6895/libGLES_mali.so                                       libGLES_mali.so[+175d1c8]
0.24%     Debugger         17534  17534  /apex/com.android.runtime/lib64/bionic/libc.so                                 __vfprintf
0.23%     mali-event-hand  17534  17539  /apex/com.android.runtime/lib64/bionic/libc.so                                 pthread_mutex_lock
0.23%     mali-event-hand  17534  17539  [kernel.kallsyms]                                                              selinux_file_permission.87bbe6f7b7afb66eaa6d1c629edc3068
0.22%     Debugger         17534  17534  /data/local/tmp/Debugger                                                       ImFontCalcTextSizeEx(ImFont*, float, float, float, char const*, char const*, char const*, char const**, ImVec2*, int)
0.22%     mali-event-hand  17534  17539  [kernel.kallsyms]                                                              security_file_free
